time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,rollout/exploration_rate,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate
4961,13.82472217,340,87,56,0.05,15.93,4760,0.05962233990430832,0.0005
5025,13.823055510000001,344,88,56,0.05,15.93,4824,0.019670600071549416,0.0005
5090,13.81722219,348,89,56,0.05,15.93,4889,0.028029605746269226,0.0005
5154,13.827499979999997,352,90,56,0.05,15.93,4953,0.04751753807067871,0.0005
5219,13.856111089999999,356,91,56,0.05,15.94,5018,0.03763918578624725,0.0005
5284,13.86416664,360,93,56,0.05,15.96,5083,0.029961228370666504,0.0005
5349,13.871666639999999,364,94,56,0.05,15.96,5148,0.06952919811010361,0.0005
5407,13.800833309999996,368,95,56,0.05,15.89,5206,0.036871299147605896,0.0005
5471,13.795833319999996,372,96,56,0.05,15.88,5270,0.0425560437142849,0.0005
5535,13.803055549999996,376,97,56,0.05,15.88,5334,0.03781231492757797,0.0005
5599,13.794444430000004,380,98,56,0.05,15.87,5398,0.02199905551970005,0.0005
5663,13.801944420000002,384,99,56,0.05,15.87,5462,0.006183197721838951,0.0005
5726,13.755555529999999,388,100,56,0.05,15.83,5525,0.06595049798488617,0.0005
5788,13.74694444,392,102,56,0.05,15.83,5587,0.059833627194166183,0.0005
5850,13.718055549999999,396,103,56,0.05,15.8,5649,0.031076297163963318,0.0005
5914,13.761944420000003,400,104,56,0.05,15.84,5713,0.06129799038171768,0.0005
5974,13.726388870000001,404,105,56,0.05,15.8,5773,0.08908654749393463,0.0005
6037,13.70444443,408,106,56,0.05,15.77,5836,0.0723324865102768,0.0005
6102,13.746944430000001,412,107,56,0.05,15.81,5901,0.03901439905166626,0.0005
6166,13.736944420000002,416,108,56,0.05,15.78,5965,0.11857511103153229,0.0005
6229,13.7247222,420,110,56,0.05,15.77,6028,0.07975346595048904,0.0005
6293,13.72944442,424,111,56,0.05,15.77,6092,0.04032597318291664,0.0005
6357,13.81333331,428,112,56,0.05,15.86,6156,0.05250992998480797,0.0005
6421,13.817499980000001,432,113,56,0.05,15.87,6220,0.018283389508724213,0.0005
6484,13.798611110000001,436,114,56,0.05,15.86,6283,0.06687358021736145,0.0005
6548,13.806111109999996,440,115,56,0.05,15.87,6347,0.012130610644817352,0.0005
6612,13.803055559999997,444,117,56,0.05,15.87,6411,0.012032746337354183,0.0005
6676,13.793611120000001,448,118,56,0.05,15.86,6475,0.05345411226153374,0.0005
6741,13.80222222,452,119,56,0.05,15.87,6540,0.027392320334911346,0.0005
6805,13.794722219999999,456,120,56,0.05,15.86,6604,0.062014009803533554,0.0005
6870,13.80583334,460,121,56,0.05,15.86,6669,0.008061336353421211,0.0005
6934,13.794444449999999,464,122,56,0.05,15.85,6733,0.021262161433696747,0.0005
6998,13.86055556,468,124,56,0.05,15.91,6797,0.0515904426574707,0.0005
7062,13.856388880000003,472,125,56,0.05,15.91,6861,0.005121964029967785,0.0005
7127,13.867222219999999,476,126,56,0.05,15.92,6926,0.07722575962543488,0.0005
7191,13.868611130000001,480,127,56,0.05,15.92,6990,0.019409647211432457,0.0005
7254,13.858333350000002,484,128,56,0.05,15.91,7053,0.008030521683394909,0.0005
7317,13.87722223,488,129,56,0.05,15.91,7116,0.021274935454130173,0.0005
7380,13.895000000000003,492,130,56,0.05,15.92,7179,0.024344345554709435,0.0005
7444,13.907222220000003,496,131,56,0.05,15.94,7243,0.03188927099108696,0.0005
7508,13.909444450000002,500,132,56,0.05,15.94,7307,0.03796304017305374,0.0005
7573,13.953333340000004,504,134,56,0.05,15.99,7372,0.014547797851264477,0.0005
7637,13.962500000000002,508,135,56,0.05,16.0,7436,0.011008665896952152,0.0005
7701,13.951388889999999,512,136,56,0.05,15.99,7500,0.01907317340373993,0.0005
7764,13.935555569999998,516,137,56,0.05,15.98,7563,0.039248645305633545,0.0005
7827,13.93305556,520,138,56,0.05,15.98,7626,0.031152259558439255,0.0005
7890,13.928888899999999,524,139,56,0.05,15.97,7689,0.01357304211705923,0.0005
7953,13.918888899999999,528,140,56,0.05,15.96,7752,0.018133370205760002,0.0005
8017,13.925000009999998,532,141,56,0.05,15.96,7816,0.031039439141750336,0.0005
8082,13.946111120000001,536,142,56,0.05,15.98,7881,0.004090432543307543,0.0005
8146,13.94305556,540,144,56,0.05,15.98,7945,0.025647195056080818,0.0005
8209,13.931666660000001,544,145,56,0.05,15.97,8008,0.056102488189935684,0.0005
8273,13.943333319999999,548,146,56,0.05,15.97,8072,0.016977498307824135,0.0005
8337,13.937777770000002,552,148,56,0.05,15.96,8136,0.03217379376292229,0.0005
8401,13.936944439999998,556,149,56,0.05,15.96,8200,0.04010000079870224,0.0005
8464,13.918055540000001,560,150,56,0.05,15.94,8263,0.04344102367758751,0.0005
8528,13.922222220000002,564,151,56,0.05,15.94,8327,0.023373287171125412,0.0005
8591,13.918611110000002,568,152,56,0.05,15.93,8390,0.013723399490118027,0.0005
8655,13.922777779999999,572,154,56,0.05,15.93,8454,0.011050022207200527,0.0005
8713,13.85083333,576,155,56,0.05,15.86,8512,0.015363983809947968,0.0005
8777,13.851666650000004,580,156,55,0.05,15.86,8576,0.030352158471941948,0.0005
8840,13.84222221,584,158,55,0.05,15.86,8639,0.036041345447301865,0.0005
8904,13.842499999999998,588,159,55,0.05,15.87,8703,0.0297715924680233,0.0005
8967,13.82722223,592,160,55,0.05,15.87,8766,0.02141270413994789,0.0005
9031,13.83777777,596,161,55,0.05,15.87,8830,0.009196893312036991,0.0005
9094,13.822777780000001,600,162,55,0.05,15.86,8893,0.01175333745777607,0.0005
9158,13.818055560000003,604,164,55,0.05,15.85,8957,0.015286692418158054,0.0005
9222,13.81944445,608,165,55,0.05,15.85,9021,0.005581594072282314,0.0005
9286,13.823333340000001,612,166,55,0.05,15.85,9085,0.006668487098067999,0.0005
9350,13.837777780000003,616,167,55,0.05,15.86,9149,0.020674558356404305,0.0005
9414,13.85916667,620,169,55,0.05,15.87,9213,0.02299034409224987,0.0005
9478,13.867499999999998,624,170,55,0.05,15.88,9277,0.06934414058923721,0.0005
9542,13.88111112,628,171,55,0.05,15.89,9341,0.0030614379793405533,0.0005
9606,13.881111120000003,632,172,55,0.05,15.89,9405,0.009650899097323418,0.0005
9671,13.88277778,636,173,55,0.05,15.89,9470,0.01794394850730896,0.0005
9734,13.873055550000004,640,175,55,0.05,15.88,9533,0.020703447982668877,0.0005
9798,13.886388890000003,644,176,55,0.05,15.89,9597,0.013394560664892197,0.0005
9862,13.882777780000001,648,177,55,0.05,15.89,9661,0.008483250625431538,0.0005
9926,13.882222220000001,652,178,55,0.05,15.89,9725,0.025103338062763214,0.0005
9990,13.884722229999998,656,180,55,0.05,15.89,9789,0.029042072594165802,0.0005
10055,13.90250001,660,181,55,0.05,15.91,9854,0.005170371849089861,0.0005
10119,13.904166660000001,664,182,55,0.05,15.91,9918,0.018928397446870804,0.0005
10182,13.903611100000001,668,183,55,0.05,15.91,9981,0.008163046091794968,0.0005
10244,13.87944444,672,184,55,0.05,15.89,10043,0.016717635095119476,0.0005
10309,13.95472221,676,185,55,0.05,15.96,10108,0.019390521571040154,0.0005
10373,13.956111100000003,680,187,55,0.05,15.96,10172,0.004932279698550701,0.0005
10437,13.97305554,684,188,55,0.05,15.97,10236,0.009071670472621918,0.0005
10500,13.96666665,688,189,55,0.05,15.96,10299,0.017211273312568665,0.0005
10560,13.95694442,692,190,55,0.05,15.93,10359,0.02204126864671707,0.0005
10622,13.934999980000002,696,191,55,0.05,15.91,10421,0.00872447807341814,0.0005
10688,13.964444419999998,700,193,55,0.05,15.94,10487,0.0038501927629113197,0.0005
10751,13.956388859999999,704,194,55,0.05,15.93,10550,0.014324048534035683,0.0005
10812,13.920277750000004,708,195,55,0.05,15.9,10611,0.0051707797683775425,0.0005
10875,13.906666629999997,712,196,55,0.05,15.89,10674,0.001859581796452403,0.0005
10938,13.89249996,716,197,55,0.05,15.88,10737,0.011510339565575123,0.0005
11002,13.89305552,720,198,55,0.05,15.88,10801,0.013842029497027397,0.0005
11065,13.881388849999999,724,199,55,0.05,15.87,10864,0.005207676440477371,0.0005
11125,13.840555519999999,728,201,55,0.05,15.83,10924,0.0060277641750872135,0.0005
11189,13.841944419999997,732,202,55,0.05,15.83,10988,0.009822182357311249,0.0005
11252,13.82527775,736,203,55,0.05,15.81,11051,0.004594480153173208,0.0005
11315,13.82333332,740,204,55,0.05,15.81,11114,0.0035454463213682175,0.0005
11379,13.828333319999999,744,205,55,0.05,15.81,11178,0.007371272426098585,0.0005
11443,13.824999969999999,748,206,55,0.05,15.81,11242,0.014671768993139267,0.0005
11507,13.823611080000003,752,208,55,0.05,15.81,11306,0.003927028737962246,0.0005
11571,13.82027773,756,209,55,0.05,15.81,11370,0.0130109628662467,0.0005
11635,13.813333280000002,760,210,55,0.05,15.8,11434,0.003332859370857477,0.0005
11695,13.76749997,764,211,55,0.05,15.76,11494,0.012178253382444382,0.0005
11757,13.758611080000003,768,212,55,0.05,15.75,11556,0.03442768380045891,0.0005
11818,13.753611079999999,772,213,55,0.05,15.74,11617,0.013142567127943039,0.0005
11882,13.74305553,776,214,55,0.05,15.73,11681,0.00900281686335802,0.0005
11946,13.74555553,780,215,55,0.05,15.73,11745,0.008318739011883736,0.0005
12008,13.726666649999997,784,217,55,0.05,15.71,11807,0.0034707202576100826,0.0005
12071,13.731111090000002,788,218,55,0.05,15.71,11870,0.024647358804941177,0.0005
12134,13.75888887,792,219,55,0.05,15.74,11933,0.0024943568278104067,0.0005
12198,13.781944429999996,796,220,55,0.05,15.76,11997,0.004433979280292988,0.0005
12261,13.758333310000001,800,221,55,0.05,15.73,12060,0.0031677442602813244,0.0005
12326,13.773611090000001,804,222,55,0.05,15.75,12125,0.007806822657585144,0.0005
12389,13.79194443,808,223,55,0.05,15.77,12188,0.017158526927232742,0.0005
12453,13.80138887,812,225,55,0.05,15.78,12252,0.00828703586012125,0.0005
12518,13.8236111,816,226,55,0.05,15.8,12317,0.015684733167290688,0.0005
12577,13.776666650000003,820,227,55,0.05,15.75,12376,0.005252649076282978,0.0005
12639,13.764999980000002,824,228,55,0.05,15.74,12438,0.027438148856163025,0.0005
12699,13.766388850000004,828,229,55,0.05,15.74,12498,0.0038687270134687424,0.0005
12763,13.766666619999999,832,230,55,0.05,15.74,12562,0.020795373246073723,0.0005
12827,13.78027773,836,231,55,0.05,15.75,12626,0.005155579652637243,0.0005
